ID	Quote	Label
154	He who lives in harmony with himself lives in harmony with the universe.	
155	The price of greatness is responsibility.	
156	Life is a process. We are a process. The universe is a process.	
157	We are shaped by our thoughts; we become what we think. When the mind is pure, joy follows like a shadow that never leaves.	
158	Decision is a risk rooted in the courage of being free.	
159	The years teach much which the days never know.	
160	What we think, we become.	
161	The personal life deeply lived always expands into truths beyond itself.	
162	Let me tell you the secret that has led me to my goal: my strength lies solely in my tenacity	
163	No garden is without its weeds.	
164	When your desires are strong enough you will appear to possess superhuman powers to achieve.	
165	Many people have gone further than they thought they could because someone else thought they could.	
166	Always be mindful of the kindness and not the faults of others.	
167	Fear grows in darkness; if you think theres a bogeyman around, turn on the light.	
168	Efficiency is doing things right; effectiveness is doing the right things.	
169	A weed is no more than a flower in disguise.	
170	Myths which are believed in tend to become true.	
171	Great talent finds happiness in execution.	
172	Man cannot discover new oceans unless he has the courage to lose sight of the shore.	
173	Most great people have attained their greatest success just one step beyond their greatest failure.	
174	Aerodynamically the bumblebee shouldn't be able to fly, but the bumblebee doesn't know that so it goes on flying anyway.	
175	Know how to listen, and you will profit even from those who talk badly.	
176	Happiness does not come about only due to external circumstances; it mainly derives from inner attitudes.	
177	The resistance that you fight physically in the gym and the resistance that you fight in life can only build a strong character.	
178	It is better to travel well than to arrive.	
179	Sunshine is delicious, rain is refreshing, wind braces us up, snow is exhilarating; there is really no such thing as bad weather, only different kinds of good weather.	
180	Correction does much, but encouragement does more.	
181	Our passion is our strength.	
182	A man is great by deeds, not by birth.	
183	Think like a man of action; act like a man of thought.	
184	Change will not come if we wait for some other person or some other time. We are the ones weve been waiting for. We are the change that we seek.	
185	How far that little candle throws its beams! So shines a good deed in a naughty world.	
186	Never, never, never give up.	
187	The best cure for the body is a quiet mind.	
188	Your worst enemy cannot harm you as much as your own unguarded thoughts.	
189	To avoid criticism, do nothing, say nothing, be nothing.	
190	It can't be spring if your heart is filled with past failures.	
191	A good decision is based on knowledge and not on numbers.	
192	A prudent question is one half of wisdom.	
193	Go for it now. The future is promised to no one.	
194	I never think of the future. It comes soon enough.	
195	Life is really simple, but we insist on making it complicated.	
196	Good actions give strength to ourselves and inspire good actions in others.	
197	Good luck is another name for tenacity of purpose.	
198	They must often change, who would be constant in happiness or wisdom.	
199	The only limit to your impact is your imagination and commitment.	
200	When you come to the end of your rope, tie a knot and hang on.	
201	Mediocrity knows nothing higher than itself, but talent instantly recognizes genius.	
202	Kindness in words creates confidence. Kindness in thinking creates profoundness. Kindness in giving creates love.	
203	Take no thought of who is right or wrong or who is better than. Be not for or against.	
204	Without this playing with fantasy no creative work has ever yet come to birth. The debt we owe to the play of the imagination is incalculable.	
205	Never apologize for showing feelings. When you do so, you apologize for the truth.	
206	We do not quit playing because we grow old, we grow old because we quit playing.	
207	Be here now. Be someplace else later. Is that so complicated?	
208	I cannot give you the formula for success, but I can give you the formula for failure: which is: Try to please everybody.	
209	You cannot change anything in your life with intention alone, which can become a watered-down, occasional hope that you'll get to tomorrow. Intention without action is useless.	
210	The only way to tell the truth is to speak with kindness. Only the words of a loving man can be heard.	
211	I believe in one thing only, the power of human will.	
212	Always seek out the seed of triumph in every adversity.	
213	When fate hands us a lemon, lets try to make lemonade.	
214	We can do no great things, only small things with great love.	
215	An idea that is developed and put into action is more important than an idea that exists only as an idea.	
216	No is easier to do. Yes is easier to say.	
217	A leader is best when people barely know he exists, when his work is done, his aim fulfilled, they will say: we did it ourselves.	
218	Everyone can taste success when the going is easy, but few know how to taste victory when times get tough.	
219	Learn wisdom from the ways of a seedling. A seedling which is never hardened off through stressful situations will never become a strong productive plant.	
220	You cannot have what you do not want.	
221	Do you want to know who you are? Don't ask. Act! Action will delineate and define you.	
222	My own dreams fortunately came true in this great state. I became Mr. Universe; I became a successful businessman. And even though some people say I still speak with a slight accent, I have reached the top of the acting profession.	
223	All I can say about life is, Oh God, enjoy it!	
224	The way is not in the sky. The way is in the heart.	
225	We choose our joys and sorrows long before we experience them.	
226	The shoe that fits one person pinches another; there is no recipe for living that suits all cases.	
227	Never idealize others. They will never live up to your expectations.	
228	The only Zen you find on the tops of mountains is the Zen you bring up there.	
229	Mistakes are always forgivable, if one has the courage to admit them.	
230	Impossibilities are merely things which we have not yet learned.	
231	We are Divine enough to ask and we are important enough to receive.	
232	To know oneself is to study oneself in action with another person.	
233	When the solution is simple, God is answering.	
234	Silences make the real conversations between friends. Not the saying but the never needing to say is what counts.	
235	Great are they who see that spiritual is stronger than any material force, that thoughts rule the world.	
236	Don't wait for people to be friendly. Show them how.	
237	Thousands of candles can be lit from a single, and the life of the candle will not be shortened. Happiness never decreases by being shared.	
238	They say that time changes things, but you actually have to change them yourself.	
239	In the sky, there is no distinction of east and west; people create distinctions out of their own minds and then believe them to be true.	
240	The world is round and the place which may seem like the end may also be the beginning.	
241	I think somehow we learn who we really are and then live with that decision.	
242	I love my past. I love my present. Im not ashamed of what Ive had, and Im not sad because I have it no longer.	
243	There is no retirement for an artist, it's your way of living so there is no end to it.	
244	The place to improve the world is first in one's own heart and head and hands.	
245	Nobody made a greater mistake than he who did nothing because he could do only a little.	
246	Tension is who you think you should be. Relaxation is who you are.	
247	Today is the tomorrow you worried about yesterday.	
248	It is impossible to feel grateful and depressed in the same moment.	
249	I'm not interested in age. People who tell me their age are silly. You're as old as you feel.	
250	The world is a book, and those who do not travel read only a page.	
